,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0
1,1.0,0.19601237808,0.161164592855,0.225302061123,0.0,1.0,0.177954937852,0.178250539805,0.189225334941,0.0
2,1.0,0.311371381566,0.154239520253,0.362710258233,0.0,1.0,0.299903368924,0.153920189737,0.336468874157,0.0
3,1.0,0.4295115359,0.175884102011,0.462212745795,0.0,1.0,0.416036709629,0.145633475035,0.476551506186,0.0
4,1.0,0.513964510948,0.155653244752,0.575929874437,1.0,1.0,0.522008650747,0.166337603319,0.575340739002,1.0
5,1.0,0.58439421834,0.244859825143,0.642264866145,1.0,1.0,0.610434986054,0.286288382887,0.614647986273,1.0
6,1.0,0.672960162952,0.404131656219,0.722814498934,1.0,1.0,0.682996676342,0.37214689704,0.67552540817,1.0
7,1.0,0.776998707352,0.537329826845,0.777303956408,1.0,1.0,0.764813063155,0.523767556697,0.75048621818,1.0
8,1.0,0.836734693878,0.69064595032,0.84837716181,1.0,1.0,0.838087041591,0.651090997868,0.798591224494,1.0
9,1.0,0.899095146696,0.784262254362,0.895759298744,1.0,1.0,0.886744145855,0.794911122086,0.850932752003,1.0
10,1.0,0.962434877982,0.886033482609,0.952617863066,1.0,1.0,0.926965312571,0.882503769053,0.880181180818,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,0.966738215156,0.976761764998,0.910826751163,1.0
12,0.0,0.0,0.0273954485007,0.0,0.0,0.0,0.0,0.0273954485007,0.0,0.0
13,0.0,0.0607544361315,0.0160727491498,0.0646766169154,0.0,0.0,0.0631572969648,0.0229189134953,0.050642994228,0.0
14,0.0,0.119001919386,0.0130243300938,0.149253731343,0.0,0.0,0.128586868942,0.00845699194073,0.118048034032,0.0
15,0.0,0.197657565905,0.00352423049596,0.249253731343,0.0,0.0,0.191138865045,0.00210209547271,0.201448397563,0.0
16,0.0,0.309334482353,0.0,0.338308457711,0.2,0.0,0.274035878148,-0.0114702176821,0.297861180717,0.2
17,0.0,0.381174350738,0.0135323999365,0.467661691542,0.2,0.0,0.374883326125,0.0130365809489,0.401513180608,0.2
18,0.0,0.448509538172,0.0354681137786,0.606965174129,0.2,0.0,0.447813775133,0.022037726178,0.507099653771,0.2
19,0.0,0.541932703984,0.0540086307356,0.676616915423,0.2,0.0,0.515644372198,0.0381271506006,0.613893747389,0.2
20,0.0,0.627208272944,0.076815321451,0.716417910448,0.2,0.0,0.595780707892,0.056849862982,0.659412288247,0.2
21,0.0,0.691958165224,0.0962106860798,0.741293532338,0.2,0.0,0.661353088801,0.0811392061776,0.679795248647,0.2
22,0.0,0.753417681852,0.115227014477,0.766169154229,0.2,0.0,0.707863697015,0.101324666669,0.690094629275,0.2
23,0.0,0.790434407928,0.137824025574,0.726368159204,0.2,0.0,0.750447356221,0.120234477966,0.700138241459,0.2
