,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.65041212951,2424.69750211,1.30121581366,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.937880857037,2486.03164657,1.82645625635,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.23019556437,2416.3773296,2.43159230007,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.52068675509,2468.87563278,2.91115688914,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.70317680546,4015.97420823,2.78325963533,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.85315434802,5611.37993097,3.0295030665,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,2.04783773727,7955.36131798,3.36527000627,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.19811890504,9663.25078327,3.55055420558,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.36448968807,11524.5933699,3.75036335358,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.49512883901,12748.7561051,3.91657603506,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.65014622201,14109.5578854,4.12346162165,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.422054784199,420.376221586,0.800945111265,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.587721383093,323.038879417,1.07702624697,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.768397590606,457.576192516,1.38842427105,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.994598750299,530.345170488,1.75258331675,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.19165839406,829.902523832,2.15508653875,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.40514858546,1220.15452003,2.65691819904,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.61056233017,1594.01844793,3.14740095143,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.7811035391,1759.70467715,3.32458320054,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.91519229287,1937.37668268,3.37202078932,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,2.01153013767,2096.703333,3.39131657758,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,2.1045354918,2272.72837422,3.42562074756,25.5
