,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.641501160841,2630.18352101,1.19772013878,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.952823310526,2328.49034311,1.81923511782,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.24930011601,2225.73615809,2.41052390761,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.51983588449,2482.46465727,2.82751325933,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.7455794759,3969.83873031,2.99342915006,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.93082221503,5034.4731442,3.25039274789,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,2.13969126893,6914.54961326,3.56680232694,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.32675240848,8493.34373173,3.76985355859,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.45096912995,10276.6945754,3.9907871462,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.55364974646,11362.8320108,4.11424476423,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.65518598947,12531.618907,4.24359971666,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.348434263421,704.091547883,0.612764078636,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.515469417723,524.765600656,0.89728075165,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.675158408573,445.965710589,1.24931368611,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.886786193324,277.67079187,1.65627204381,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.14423964327,581.551909011,2.09378713534,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.33042378654,693.164939703,2.53946763857,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.50358851778,892.671710918,2.99024550773,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.70816856918,1124.83091049,3.18237926869,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.8755683004,1426.01560851,3.26841574454,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.99430523211,1676.31269449,3.31188943017,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,2.1030170557,1910.7918963,3.3542835172,25.5
