,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.529421918577,2365.18516675,1.32769257166,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.831475093254,2468.17137509,1.86010545294,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.17808112534,2443.99703026,2.38917310754,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.51325876831,2481.85630992,2.77287427449,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.63744488645,4477.04523168,3.18707838681,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.79953670058,5863.6994839,3.26723775678,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,2.00948552257,7867.50019226,3.38882049512,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.19018292379,9500.28845298,3.57297022161,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.36321223687,11326.6153793,3.75334550472,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.46322439992,12537.3648769,3.89912448517,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.5762331893,13894.416491,4.06854733164,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.345307263271,943.64917539,0.767403078189,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.544207330305,755.049155206,1.05263652908,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.748511319565,560.819496378,1.38780662363,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.981601924028,263.061430985,1.76332020982,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.19763925085,529.709886395,2.17302256296,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.36620689121,698.915199965,2.62219581146,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.51293983553,1013.70722232,3.13924330553,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.608681639,1451.07441183,3.43534443879,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.70457657737,1949.16826423,3.58369139112,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.78501810138,2371.19988892,3.64878426437,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.86289051224,2784.41804203,3.69440579396,25.5
