,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.529421918577,2365.18516675,1.32769257166,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.725771442081,2369.89239523,1.79657971027,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,0.971186405931,2506.516278,2.20344621675,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.26277911968,2580.15751816,2.55899332246,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.49726542663,4109.28529969,2.87240092794,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.75960007858,6006.00171654,3.06502509287,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,1.96785887723,7643.85476783,3.35184465079,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.1441150068,9296.65885071,3.59003691415,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.29657099921,10858.4342355,3.7870104342,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.42962111188,12308.055445,3.97017466723,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.56897256783,13649.7069551,4.13678271494,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.345307263271,943.64917539,0.767403078189,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.555456331138,1020.73019992,1.08979628763,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.786468429781,1032.49375993,1.38654239375,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,1.00946358328,978.430203057,1.66589328021,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.20491957452,1186.7026854,2.03608548017,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.37459023062,1390.68473949,2.37954807178,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.51791577553,1595.83166263,2.73074339186,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.63471442167,1814.43656352,3.07513007258,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.7175627833,2106.21028281,3.33009877479,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.77525413567,2506.32419208,3.42591367882,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.83246026696,2983.93522548,3.40083647315,25.5
