,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.577750958201,2657.25519954,1.20441765476,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.806834362371,2572.10345653,1.64491746631,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.05437919977,2437.18583066,2.08891007109,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.30591558708,2260.38901763,2.52280469958,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.48569827915,3798.69326923,2.7860256076,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.67901152392,5326.66000574,3.08320326896,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,1.88383009818,6832.20719218,3.40199686881,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.09008381139,8308.72627217,3.71971801946,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.28172903029,9751.87199484,4.0048388159,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.44075827996,11154.2879092,4.22346637189,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.55219680616,12501.922558,4.34830218146,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.346794133171,606.542775777,0.623173605874,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.501224002093,469.537949355,0.85536167599,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.647731895169,350.726669157,1.08422557493,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.782580523039,249.53173497,1.30127706835,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,0.944836025239,405.702879619,1.58031524567,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.09567455613,579.005843444,1.8331316459,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.22871777943,766.828092111,2.05701567014,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.34164108773,967.899243935,2.25020127984,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.43475225663,1182.23704255,2.4126570204,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.50987242293,1410.83229047,2.54583824739,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.56948005,1655.29515684,2.65210033955,25.5
