,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0
1,1.0,0.19601237808,0.161164592855,0.225302061123,0.0,1.0,0.17012287207,0.163289790737,0.175627568741,0.0
2,1.0,0.311371381566,0.154239520253,0.362710258233,0.0,1.0,0.29313111742,0.155893794287,0.321777477657,0.0
3,1.0,0.4295115359,0.175884102011,0.462212745795,0.0,1.0,0.413542121058,0.155469252335,0.467749333186,0.0
4,1.0,0.513964510948,0.155653244752,0.575929874437,1.0,1.0,0.514336757131,0.17613364495,0.570856512704,1.0
5,1.0,0.58439421834,0.244859825143,0.642264866145,1.0,1.0,0.556600428162,0.301823759024,0.60982448144,1.0
6,1.0,0.672960162952,0.404131656219,0.722814498934,1.0,1.0,0.625799527117,0.398926105691,0.670903614504,1.0
7,1.0,0.776998707352,0.537329826845,0.777303956408,1.0,1.0,0.715438495133,0.564051855574,0.742353406933,1.0
8,1.0,0.836734693878,0.69064595032,0.84837716181,1.0,1.0,0.797210230804,0.699906156649,0.792077232075,1.0
9,1.0,0.899095146696,0.784262254362,0.895759298744,1.0,1.0,0.849960970743,0.853607288526,0.842381716548,1.0
10,1.0,0.962434877982,0.886033482609,0.952617863066,1.0,1.0,0.891767148183,0.951158849437,0.877486692438,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,0.932727698102,1.06079466698,0.917042336489,1.0
12,0.0,0.0,0.0273954485007,0.0,0.0,0.0,0.0,0.0273954485007,0.0,0.0
13,0.0,0.0607544361315,0.0160727491498,0.0646766169154,0.0,0.0,0.0492941704624,0.0280475794964,0.0417649826541,0.0
14,0.0,0.119001919386,0.0130243300938,0.149253731343,0.0,0.0,0.12604597364,0.0151385851602,0.112168697438,0.0
15,0.0,0.197657565905,0.00352423049596,0.249253731343,0.0,0.0,0.193285054774,0.00577236926428,0.190237405733,0.0
16,0.0,0.309334482353,0.0,0.338308457711,0.2,0.0,0.2815361126,-0.00808755938699,0.280804673082,0.2
17,0.0,0.381174350738,0.0135323999365,0.467661691542,0.2,0.0,0.372617899733,0.0110514346488,0.38226357282,0.2
18,0.0,0.448509538172,0.0354681137786,0.606965174129,0.2,0.0,0.441596074162,0.0216583149066,0.476557546055,0.2
19,0.0,0.541932703984,0.0540086307356,0.676616915423,0.2,0.0,0.505251411808,0.0440167250365,0.564220232918,0.2
20,0.0,0.627208272944,0.076815321451,0.716417910448,0.2,0.0,0.578411166808,0.0760066749962,0.591816988694,0.2
21,0.0,0.691958165224,0.0962106860798,0.741293532338,0.2,0.0,0.635626674238,0.110820857066,0.589833378792,0.2
22,0.0,0.753417681852,0.115227014477,0.766169154229,0.2,0.0,0.674102054011,0.136791333287,0.57751469413,0.2
23,0.0,0.790434407928,0.137824025574,0.726368159204,0.2,0.0,0.706929873725,0.159599874527,0.559881099333,0.2
