,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0
1,1.0,0.19601237808,0.161164592855,0.225302061123,0.0,1.0,0.17012287207,0.163289790737,0.175627568741,0.0
2,1.0,0.311371381566,0.154239520253,0.362710258233,0.0,1.0,0.256927465391,0.155250883066,0.266672661281,0.0
3,1.0,0.4295115359,0.175884102011,0.462212745795,0.0,1.0,0.342263485448,0.152931392759,0.363986408619,0.0
4,1.0,0.513964510948,0.155653244752,0.575929874437,1.0,1.0,0.428565287711,0.153036219518,0.468299927293,1.0
5,1.0,0.58439421834,0.244859825143,0.642264866145,1.0,1.0,0.495408486876,0.288526217726,0.525470579774,1.0
6,1.0,0.672960162952,0.404131656219,0.722814498934,1.0,1.0,0.57176784377,0.418201916369,0.585062327921,1.0
7,1.0,0.776998707352,0.537329826845,0.777303956408,1.0,1.0,0.648842816683,0.542993623107,0.641317958093,1.0
8,1.0,0.836734693878,0.69064595032,0.84837716181,1.0,1.0,0.718884911577,0.662614209155,0.690052867269,1.0
9,1.0,0.899095146696,0.784262254362,0.895759298744,1.0,1.0,0.777280526,0.77550066122,0.729823154481,1.0
10,1.0,0.962434877982,0.886033482609,0.952617863066,1.0,1.0,0.823327920625,0.879932207966,0.760944345872,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,0.858919945584,0.974716226271,0.784424955965,1.0
12,0.0,0.0,0.0273954485007,0.0,0.0,0.0,0.0,0.0273954485007,0.0,0.0
13,0.0,0.0607544361315,0.0160727491498,0.0646766169154,0.0,0.0,0.0492941704624,0.0280475794964,0.0417649826541,0.0
14,0.0,0.119001919386,0.0130243300938,0.149253731343,0.0,0.0,0.107439199987,0.0281850487312,0.0893042284782,0.0
15,0.0,0.197657565905,0.00352423049596,0.249253731343,0.0,0.0,0.172396792279,0.0272575294331,0.141399537181,0.0
16,0.0,0.309334482353,0.0,0.338308457711,0.2,0.0,0.24064360886,0.0239997028849,0.194852325538,0.2
17,0.0,0.381174350738,0.0135323999365,0.467661691542,0.2,0.0,0.301591734922,0.0484858988201,0.266691791405,0.2
18,0.0,0.448509538172,0.0354681137786,0.606965174129,0.2,0.0,0.357541405357,0.0717923510644,0.327574350776,0.2
19,0.0,0.541932703984,0.0540086307356,0.676616915423,0.2,0.0,0.405858522254,0.095877633479,0.37414125331,0.2
20,0.0,0.627208272944,0.076815321451,0.716417910448,0.2,0.0,0.444070585335,0.121630940315,0.404654002775,0.2
21,0.0,0.691958165224,0.0962106860798,0.741293532338,0.2,0.0,0.470404493262,0.148800189985,0.41955749635,0.2
22,0.0,0.753417681852,0.115227014477,0.766169154229,0.2,0.0,0.484250867914,0.176243002347,0.421305163288,0.2
23,0.0,0.790434407928,0.137824025574,0.726368159204,0.2,0.0,0.486352210615,0.202495100244,0.413614813352,0.2
