,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.58164063735,2350.76128766,1.4574530516,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.855800478484,2370.13045714,1.94135596028,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.1143398118,2747.43083896,2.28953479625,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.39132958263,3048.26091967,2.65720563092,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.60112234088,4134.66430975,2.92768286212,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.80312664418,6134.5105324,3.10104817155,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,1.97773183095,7867.12388894,3.37903381137,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.16542283112,9735.09386718,3.64856660011,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.35018879221,11443.0936928,3.9001646639,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.50897770507,12998.865381,4.11628610968,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.64224556812,14442.8068634,4.29874096025,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.313338093835,1111.05650233,0.972777590948,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.622985653759,1209.28902085,1.24008368004,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.907324462451,922.781149561,1.53247155374,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,1.16353487729,792.062748553,1.85437240738,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.18717057408,1583.13006743,1.83050934791,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.21866957345,1086.43453157,1.98633741582,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.24689074114,1623.34998441,1.89531857229,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.24659272586,1143.78569452,2.02944498283,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.26498881135,1643.40700237,1.91905091521,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.25642881657,1162.21123559,2.04510283883,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.2714251762,1650.58459245,1.92788039524,25.5
