,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.621506680107,2444.67217747,1.14032396766,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.843110126398,2344.9907674,1.52462530327,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.060964452,2316.22938912,1.93538663078,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.281284323,2317.52922731,2.3756939931,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.45192832615,3997.58759139,2.61701131723,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.64686612836,5605.54939672,2.86854808616,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,1.84363082671,7152.95033736,3.10600310111,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.02244129076,8636.23005367,3.31171315274,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.17151945483,10036.007384,3.47958353506,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.28907384856,11330.9449876,3.61094608393,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.37993672908,12506.2544927,3.71005773913,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.313043087773,767.68633957,0.575289991783,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.461481533646,769.39094021,0.775953148407,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.62731177101,757.889821492,0.99584744644,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.801539069058,717.493195812,1.2214716661,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,0.957133540083,1021.1188422,1.52470605152,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.09996745374,1310.11582019,1.78169133463,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.22331622146,1608.77019105,1.97825023022,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.3208677973,1928.10784789,2.10704454571,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.38809563085,2265.00301179,2.16995219209,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.4234440407,2605.29031751,2.17732909424,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.42880855848,2930.81291867,2.14486812716,25.5
