,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.624203674162,2513.6458543,1.15872673176,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.956566520678,2224.87325573,1.7805418495,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.26593233395,2167.80582301,2.32790468141,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.54705401599,2456.4676371,2.6842178272,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.69502998996,4227.62957746,2.96684223945,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.88648738978,5372.8234826,3.23181552584,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,2.10736776655,7238.88574974,3.51872928078,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.3288927873,8823.86842546,3.73427989226,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.45105260664,10567.7955976,3.96347031998,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.57277907871,11711.2949564,4.14422076545,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.69428776432,12974.6976493,4.36168959356,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.362744662139,598.173813338,0.613728507548,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.525113269499,406.640621733,0.92625955014,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.685260874526,346.711889907,1.28028203175,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.89136607305,234.485625317,1.70986836917,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.17252335689,626.736971577,2.15948806951,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.34959255954,819.485840108,2.61665589468,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.50298288222,1089.21174411,3.07159720643,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.68999669417,1344.1624697,3.31314376103,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.85306974762,1625.22575293,3.43741436954,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.97512185777,1849.54030952,3.50930681892,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,2.09058945316,2059.74986981,3.58193094227,25.5
