,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.624203674162,2513.6458543,1.15872673176,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.879043040101,2327.66603252,1.59418637724,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.1416507637,2167.39345676,2.03701688037,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.40163771186,2049.2609793,2.45059100318,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.56392323267,3776.04459654,2.66113245448,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.75284794266,5446.5324182,2.9056600883,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,1.94557070204,7033.59053868,3.14482158207,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.12195675625,8528.72649357,3.36246507713,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.27101083149,9940.22238991,3.5606934434,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.39008339738,11281.0655675,3.74815009478,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.48135927624,12561.1306502,3.93246842155,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.362744662139,598.173813338,0.613728507548,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.535403857919,389.222450115,0.88234443641,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.711993709848,154.531081469,1.20632619347,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.89596327807,-73.4060141571,1.58121850783,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.10634967268,134.11824067,2.05139180631,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.30381724671,397.022673975,2.44648807548,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.47536844564,699.803961472,2.7567032873,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.61411508306,1012.62454623,2.97840816435,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.71918299106,1308.52843379,3.11656852035,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.79392066838,1572.23989783,3.18276115771,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.84359290972,1799.54252681,3.19129259706,25.5
