,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,432.0,0.409852708559,2801.40444137,0.891688879457,0.0
1,480,0.6876,2418.32,1.35,0.0,432.0,0.739636417104,2516.68187355,1.27291061202,0.0
2,480,0.9821,2332.45,1.93,0.0,432.0,1.04599511366,2262.25176004,1.83547422812,0.0
3,480,1.2837,2600.84,2.35,0.0,432.0,1.30715970646,2125.84990954,2.38048916986,0.0
4,480,1.4993,2349.98,2.83,127.5,432.0,1.55171050516,2258.94883458,2.74103611804,127.5
5,480,1.6791,3456.13,3.11,127.5,432.0,1.78624844557,3840.05813037,2.87779357026,127.5
6,480,1.9052,5431.08,3.45,127.5,432.0,1.94384116594,4927.26442505,3.088307876,127.5
7,480,2.1708,7082.72,3.68,127.5,432.0,2.11510336483,6822.93486127,3.36159390987,127.5
8,480,2.3233,8983.82,3.98,127.5,432.0,2.3122252435,8302.07909662,3.49590856818,127.5
9,480,2.4825,10144.65,4.18,127.5,432.0,2.43676760877,10013.0099586,3.71592283499,127.5
10,480,2.6442,11406.6,4.42,127.5,432.0,2.56950778702,11000.8920566,3.81576821877,127.5
11,480,2.7401,12819.77,4.62,127.5,432.0,2.71347509513,12060.0228561,3.93444745085,127.5
12,300,0.1872,759.6,0.399,0.0,360.0,0.218316061755,991.950221145,0.559347835314,0.0
13,300,0.3423,619.2,0.672,0.0,360.0,0.483721861572,839.756597629,0.879048795418,0.0
14,300,0.491,581.4,1.029,0.0,360.0,0.643630355187,727.281736458,1.13397857785,0.0
15,300,0.6918,463.6,1.4511,0.0,360.0,0.803360404595,692.796944821,1.46765351682,0.0
16,300,0.9769,419.9,1.827,25.5,360.0,0.986695384248,565.737910735,1.85622902879,25.5
17,300,1.1603,587.7,2.373,25.5,360.0,1.22304550442,831.255393171,2.1679375123,25.5
18,300,1.3322,859.7,2.961,25.5,360.0,1.39313011165,984.346376211,2.60376248261,25.5
19,300,1.5707,1089.6,3.255,25.5,360.0,1.55919773473,1273.27821571,3.05253178331,25.5
20,300,1.7884,1372.4,3.423,25.5,360.0,1.74416641837,1489.12996702,3.23934927075,25.5
21,300,1.9537,1612.9,3.528,25.5,360.0,1.90822584233,1741.6025131,3.31612164507,25.5
22,300,2.1106,1848.7,3.633,25.5,360.0,2.03178362026,1954.90196453,3.34661386465,25.5
23,300,2.2051,2128.9,3.465,25.5,360.0,2.14961307652,2167.09403836,3.37196115426,25.5
