,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,432.0,0.409852708559,2801.40444137,0.891688879457,0.0
1,480,0.6876,2418.32,1.35,0.0,432.0,0.739636417104,2516.68187355,1.27291061202,0.0
2,480,0.9821,2332.45,1.93,0.0,432.0,1.04408488766,2207.14927082,1.68334091781,0.0
3,480,1.2837,2600.84,2.35,0.0,432.0,1.29461623617,1832.25193014,2.1171090246,0.0
4,480,1.4993,2349.98,2.83,127.5,432.0,1.4899676563,1420.80663901,2.55856694735,127.5
5,480,1.6791,3456.13,3.11,127.5,432.0,1.77545044665,2645.91544629,2.68539064696,127.5
6,480,1.9052,5431.08,3.45,127.5,432.0,1.98850960005,3881.81285076,2.78967032077,127.5
7,480,2.1708,7082.72,3.68,127.5,432.0,2.13268837466,5129.124678,2.8647236768,127.5
8,480,2.3233,8983.82,3.98,127.5,432.0,2.21822143151,6375.5574747,2.92002788004,127.5
9,480,2.4825,10144.65,4.18,127.5,432.0,2.26378133958,7602.5498572,2.97008696917,127.5
10,480,2.6442,11406.6,4.42,127.5,432.0,2.29179306421,8788.24358664,3.02509519638,127.5
11,480,2.7401,12819.77,4.62,127.5,432.0,2.32180494612,9908.68120808,3.08573357914,127.5
12,300,0.1872,759.6,0.399,0.0,360.0,0.218316061755,991.950221145,0.559347835314,0.0
13,300,0.3423,619.2,0.672,0.0,360.0,0.483721861572,839.756597629,0.879048795418,0.0
14,300,0.491,581.4,1.029,0.0,360.0,0.735486834177,701.160162573,1.20888002384,0.0
15,300,0.6918,463.6,1.4511,0.0,360.0,0.952772824898,536.938870881,1.54767599925,0.0
16,300,0.9769,419.9,1.827,25.5,360.0,1.13057399897,343.104548668,1.88931668297,25.5
17,300,1.1603,587.7,2.373,25.5,360.0,1.30209799477,472.946558545,2.19770698984,25.5
18,300,1.3322,859.7,2.961,25.5,360.0,1.44699285965,591.281378677,2.46245723437,25.5
19,300,1.5707,1089.6,3.255,25.5,360.0,1.56950094916,714.05135369,2.68006919043,25.5
20,300,1.7884,1372.4,3.423,25.5,360.0,1.67325331675,848.396402645,2.85149896012,25.5
21,300,1.9537,1612.9,3.528,25.5,360.0,1.7610227857,994.538960328,2.98055223883,25.5
22,300,2.1106,1848.7,3.633,25.5,360.0,1.83495605664,1148.71751165,3.07243273498,25.5
23,300,2.2051,2128.9,3.465,25.5,360.0,1.89679557558,1305.5814846,3.13276299109,25.5
