,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,1.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,1.0,0.580649453967,2441.43396657,1.11447119925,0.0
2,480,0.9821,2332.45,1.93,0.0,1.0,0.925946422613,2306.89604726,1.74719366934,0.0
3,480,1.2837,2600.84,2.35,0.0,1.0,1.24549419586,2351.22630932,2.34366603748,0.0
4,480,1.4993,2349.98,2.83,127.5,1.0,1.5442934633,2673.61127214,2.71719720822,127.5
5,480,1.6791,3456.13,3.11,127.5,1.0,1.72651769941,3955.22791634,3.21294470846,127.5
6,480,1.9052,5431.08,3.45,127.5,1.0,1.89519472681,5001.09258798,3.47037996764,127.5
7,480,2.1708,7082.72,3.68,127.5,1.0,2.10694362136,6905.94053423,3.77867000738,127.5
8,480,2.3233,8983.82,3.98,127.5,1.0,2.34522720477,8421.07879509,3.96528803229,127.5
9,480,2.4825,10144.65,4.18,127.5,1.0,2.50298149723,10268.5492823,4.23876534518,127.5
10,480,2.6442,11406.6,4.42,127.5,1.0,2.65988353015,11339.8337461,4.40270684788,127.5
11,480,2.7401,12819.77,4.62,127.5,1.0,2.82734759402,12511.5719991,4.59319852694,127.5
12,300,0.1872,759.6,0.399,0.0,0.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,0.0,0.347842559144,654.523034843,0.575073705644,0.0
14,300,0.491,581.4,1.029,0.0,0.0,0.515375384323,578.791488595,0.880191069748,0.0
15,300,0.6918,463.6,1.4511,0.0,0.0,0.683403805977,579.080155516,1.26272605325,0.0
16,300,0.9769,419.9,1.827,25.5,0.0,0.892120906546,520.077999189,1.68547041256,25.5
17,300,1.1603,587.7,2.373,25.5,0.0,1.13194235185,708.758932103,2.04333864486,25.5
18,300,1.3322,859.7,2.961,25.5,0.0,1.31943279559,861.741904956,2.54646456169,25.5
19,300,1.5707,1089.6,3.255,25.5,0.0,1.49004534416,1175.76611815,3.0367621053,25.5
20,300,1.7884,1372.4,3.423,25.5,0.0,1.68053344206,1425.64125131,3.21738097777,25.5
21,300,1.9537,1612.9,3.528,25.5,0.0,1.8496849667,1707.66025969,3.28422385464,25.5
22,300,2.1106,1848.7,3.633,25.5,0.0,1.97801030322,1941.57616147,3.31149445123,25.5
23,300,2.2051,2128.9,3.465,25.5,0.0,2.10093377576,2172.00551329,3.3384184897,25.5
