,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,1.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,1.0,0.605941440629,2390.12925139,1.17754008828,0.0
2,480,0.9821,2332.45,1.93,0.0,1.0,0.933069165482,2266.83557,1.77349365094,0.0
3,480,1.2837,2600.84,2.35,0.0,1.0,1.23223681798,2272.96394643,2.3228659609,0.0
4,480,1.4993,2349.98,2.83,127.5,1.0,1.50273502929,2654.98054656,2.68547691278,127.5
5,480,1.6791,3456.13,3.11,127.5,1.0,1.69211197136,3887.38707613,3.10805301881,127.5
6,480,1.9052,5431.08,3.45,127.5,1.0,1.86137063984,4917.23431553,3.3584802133,127.5
7,480,2.1708,7082.72,3.68,127.5,1.0,2.05461732356,6896.9326039,3.62539530923,127.5
8,480,2.3233,8983.82,3.98,127.5,1.0,2.26178495754,8546.0631037,3.79823982201,127.5
9,480,2.4825,10144.65,4.18,127.5,1.0,2.39570491578,10328.946494,4.04087800829,127.5
10,480,2.6442,11406.6,4.42,127.5,1.0,2.53440759532,11273.1568367,4.2191438124,127.5
11,480,2.7401,12819.77,4.62,127.5,1.0,2.68624724907,12168.44319,4.44574465775,127.5
12,300,0.1872,759.6,0.399,0.0,0.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,0.0,0.380362691178,692.748755468,0.592177974585,0.0
14,300,0.491,581.4,1.029,0.0,0.0,0.528252899344,576.146343133,0.862359870289,0.0
15,300,0.6918,463.6,1.4511,0.0,0.0,0.669544352204,544.455153947,1.19132490393,0.0
16,300,0.9769,419.9,1.827,25.5,0.0,0.859935198617,420.602158029,1.57619785779,25.5
17,300,1.1603,587.7,2.373,25.5,0.0,1.13442750727,924.379399777,1.98388785225,25.5
18,300,1.3322,859.7,2.961,25.5,0.0,1.30613361489,1077.19344873,2.45423326565,25.5
19,300,1.5707,1089.6,3.255,25.5,0.0,1.4569492408,1300.52233901,2.92736606612,25.5
20,300,1.7884,1372.4,3.423,25.5,0.0,1.65773403544,1488.42046648,3.17526475737,25.5
21,300,1.9537,1612.9,3.528,25.5,0.0,1.83348249342,1741.40345053,3.31564003416,25.5
22,300,2.1106,1848.7,3.633,25.5,0.0,1.96377166371,1963.67593859,3.40044988663,25.5
23,300,2.2051,2128.9,3.465,25.5,0.0,2.08585855413,2189.05296033,3.48247643812,25.5
