,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0
1,1.0,0.19601237808,0.161164592855,0.225302061123,0.0,1.0,0.164025790524,0.158891121551,0.184444465359,0.0
2,1.0,0.311371381566,0.154239520253,0.362710258233,0.0,1.0,0.258347086095,0.144076029711,0.28582006457,0.0
3,1.0,0.4295115359,0.175884102011,0.462212745795,0.0,1.0,0.356092692946,0.137213664638,0.386910274623,0.0
4,1.0,0.513964510948,0.155653244752,0.575929874437,1.0,1.0,0.452720815184,0.136552282607,0.482102713564,1.0
5,1.0,0.58439421834,0.244859825143,0.642264866145,1.0,1.0,0.527981948199,0.263728556377,0.551688216155,1.0
6,1.0,0.672960162952,0.404131656219,0.722814498934,1.0,1.0,0.604098527675,0.383134325568,0.615574577626,1.0
7,1.0,0.776998707352,0.537329826845,0.777303956408,1.0,1.0,0.672263821866,0.503026810491,0.669607680302,1.0
8,1.0,0.836734693878,0.69064595032,0.84837716181,1.0,1.0,0.729579859911,0.625340760858,0.712470123137,1.0
9,1.0,0.899095146696,0.784262254362,0.895759298744,1.0,1.0,0.778565173216,0.745844515512,0.74677300853,1.0
10,1.0,0.962434877982,0.886033482609,0.952617863066,1.0,1.0,0.824786228924,0.855142225328,0.777932086301,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,0.872816427146,0.942846812382,0.811081486217,1.0
12,0.0,0.0,0.0273954485007,0.0,0.0,0.0,0.0,0.0273954485007,0.0,0.0
13,0.0,0.0607544361315,0.0160727491498,0.0646766169154,0.0,0.0,0.0756640256877,0.0220041625814,0.0457659262224,0.0
14,0.0,0.119001919386,0.0130243300938,0.149253731343,0.0,0.0,0.144835420451,0.0144188463113,0.0943297737728,0.0
15,0.0,0.197657565905,0.00352423049596,0.249253731343,0.0,0.0,0.208581678483,0.00511943706432,0.143502566776,0.0
16,0.0,0.309334482353,0.0,0.338308457711,0.2,0.0,0.267821242236,-0.00549268270355,0.191798599828,0.2
17,0.0,0.381174350738,0.0135323999365,0.467661691542,0.2,0.0,0.324793901332,0.0257547757934,0.244837667497,0.2
18,0.0,0.448509538172,0.0354681137786,0.606965174129,0.2,0.0,0.375583512707,0.0508350100655,0.293801792874,0.2
19,0.0,0.541932703984,0.0540086307356,0.676616915423,0.2,0.0,0.419799639452,0.0717988374581,0.337279542785,0.2
20,0.0,0.627208272944,0.076815321451,0.716417910448,0.2,0.0,0.457413291548,0.089955254362,0.374638434696,0.2
21,0.0,0.691958165224,0.0962106860798,0.741293532338,0.2,0.0,0.488657186724,0.106186558948,0.405792084724,0.2
22,0.0,0.753417681852,0.115227014477,0.766169154229,0.2,0.0,0.513933434214,0.121104024621,0.431000503536,0.2
23,0.0,0.790434407928,0.137824025574,0.726368159204,0.2,0.0,0.533738538432,0.135133893406,0.450716223501,0.2
