,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,0.733333333333,11.5124593716,0.608709323076,1528.55127334,0.33
1,480,0.6876,2418.32,1.35,0.0,0.733333333333,23.1296675736,0.613292110384,2371.71524041,0.33
2,480,0.9821,2332.45,1.93,0.0,0.733333333333,34.5754608271,0.61502793666,3276.91595457,0.33
3,480,1.2837,2600.84,2.35,0.0,0.733333333333,45.8076049996,0.616222457512,4218.33622436,0.33
4,480,1.4993,2349.98,2.83,127.5,0.733333333333,56.6443458504,0.617632116496,5162.58431528,3.47
5,480,1.6791,3456.13,3.11,127.5,0.733333333333,64.0998946633,0.864839346579,5922.97593733,3.47
6,480,1.9052,5431.08,3.45,127.5,0.733333333333,72.4112335131,1.09553429583,6680.46298624,3.47
7,480,2.1708,7082.72,3.68,127.5,0.733333333333,80.9696980312,1.32046522635,7361.01550457,3.47
8,480,2.3233,8983.82,3.98,127.5,0.733333333333,89.044847043,1.54325121344,7927.91774289,3.47
9,480,2.4825,10144.65,4.18,127.5,0.733333333333,95.9763485199,1.76159924923,8378.51355879,3.47
10,480,2.6442,11406.6,4.42,127.5,0.733333333333,101.293484131,1.97035432237,8726.17758046,3.47
11,480,2.7401,12819.77,4.62,127.5,0.733333333333,104.749465983,2.16452432365,8982.85812945,3.47
12,300,0.1872,759.6,0.399,0.0,0.333333333333,1.60888407367,0.274927587993,717.011806027,0.22
13,300,0.3423,619.2,0.672,0.0,0.333333333333,12.5570459092,0.2812217643,1646.67837147,0.22
14,300,0.491,581.4,1.029,0.0,0.333333333333,23.4491535523,0.277872220829,2615.62975134,0.22
15,300,0.6918,463.6,1.4511,0.0,0.333333333333,34.0070995256,0.26579545711,3600.13449239,0.22
16,300,0.9769,419.9,1.827,25.5,0.333333333333,43.9147406701,0.24473868177,4568.40497168,1.1624
17,300,1.1603,587.7,2.373,25.5,0.333333333333,53.9532262372,0.259467070738,5817.93255283,1.1624
18,300,1.3322,859.7,2.961,25.5,0.333333333333,63.7450410491,0.274818781345,6919.7423871,1.1624
19,300,1.5707,1089.6,3.255,25.5,0.333333333333,72.4590052065,0.290527392072,7827.99990261,1.1624
20,300,1.7884,1372.4,3.423,25.5,0.333333333333,79.6636546017,0.306185597493,8530.31175565,1.1624
21,300,1.9537,1612.9,3.528,25.5,0.333333333333,85.2931369165,0.321510650796,9044.02539244,1.1624
22,300,2.1106,1848.7,3.633,25.5,0.333333333333,89.5167940148,0.336501535237,9402.9809483,1.1624
23,300,2.2051,2128.9,3.465,25.5,0.333333333333,92.6013872509,0.351410213109,9644.47793773,1.1624
