,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,1.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,1.0,0.631716202025,2506.99624203,1.20356867962,0.0
2,480,0.9821,2332.45,1.93,0.0,1.0,0.924826500493,2482.80127761,1.7270380584,0.0
3,480,1.2837,2600.84,2.35,0.0,1.0,1.22959160642,2268.56897733,2.35355865899,0.0
4,480,1.4993,2349.98,2.83,127.5,1.0,1.52094427295,2120.59903315,2.82454797098,127.5
5,480,1.6791,3456.13,3.11,127.5,1.0,1.66077649406,4481.80818669,3.10617898405,127.5
6,480,1.9052,5431.08,3.45,127.5,1.0,1.81920524852,5796.48684911,3.3565961627,127.5
7,480,2.1708,7082.72,3.68,127.5,1.0,2.03886323687,7821.23679332,3.6252337973,127.5
8,480,2.3233,8983.82,3.98,127.5,1.0,2.24301021608,9551.4195037,3.85890434539,127.5
9,480,2.4825,10144.65,4.18,127.5,1.0,2.40837146204,11333.3280564,4.01178247771,127.5
10,480,2.6442,11406.6,4.42,127.5,1.0,2.53415100965,12540.4124179,4.13350991476,127.5
11,480,2.7401,12819.77,4.62,127.5,1.0,2.65943724906,13861.5270888,4.24471781848,127.5
12,300,0.1872,759.6,0.399,0.0,0.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,0.0,0.291934701197,826.626332541,0.623661204913,0.0
14,300,0.491,581.4,1.029,0.0,0.0,0.505612074145,649.846663063,0.921276394549,0.0
15,300,0.6918,463.6,1.4511,0.0,0.0,0.712236169831,373.214335333,1.31452174303,0.0
16,300,0.9769,419.9,1.827,25.5,0.0,0.962544196897,84.888214808,1.76954073315,25.5
17,300,1.1603,587.7,2.373,25.5,0.0,1.16978518757,883.962580797,2.08035050422,25.5
18,300,1.3322,859.7,2.961,25.5,0.0,1.38186778647,1267.02358945,2.43535299982,25.5
19,300,1.5707,1089.6,3.255,25.5,0.0,1.5796963584,1836.52184511,2.72017484053,25.5
20,300,1.7884,1372.4,3.423,25.5,0.0,1.71761010716,2593.35315651,2.82558395355,25.5
21,300,1.9537,1612.9,3.528,25.5,0.0,1.80809647075,3311.09834237,2.88286662567,25.5
22,300,2.1106,1848.7,3.633,25.5,0.0,1.86248366744,3884.41867163,2.92037149426,25.5
23,300,2.2051,2128.9,3.465,25.5,0.0,1.90740005819,4455.3655138,2.9600020862,25.5
