,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,1.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,1.0,0.605941440629,2390.12925139,1.17754008828,0.0
2,480,0.9821,2332.45,1.93,0.0,1.0,0.846734276091,2206.42403854,1.60544649255,0.0
3,480,1.2837,2600.84,2.35,0.0,1.0,1.09626903582,2121.33160374,2.03214826918,0.0
4,480,1.4993,2349.98,2.83,127.5,1.0,1.34295096908,2113.13055253,2.43395555396,127.5
5,480,1.6791,3456.13,3.11,127.5,1.0,1.53508511556,3690.09981436,2.72767596039,127.5
6,480,1.9052,5431.08,3.45,127.5,1.0,1.7294031313,5170.71582958,2.99734029216,127.5
7,480,2.1708,7082.72,3.68,127.5,1.0,1.90342231084,6657.3670566,3.22541401855,127.5
8,480,2.3233,8983.82,3.98,127.5,1.0,2.04974442437,8174.04414034,3.40633638976,127.5
9,480,2.4825,10144.65,4.18,127.5,1.0,2.1747990307,9668.27503256,3.551128869,127.5
10,480,2.6442,11406.6,4.42,127.5,1.0,2.29279676382,11023.5524256,3.68265133628,127.5
11,480,2.7401,12819.77,4.62,127.5,1.0,2.41541305686,12111.0779034,3.82257495332,127.5
12,300,0.1872,759.6,0.399,0.0,0.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,0.0,0.380362691178,692.748755468,0.592177974585,0.0
14,300,0.491,581.4,1.029,0.0,0.0,0.556950344868,598.69181981,0.797165975095,0.0
15,300,0.6918,463.6,1.4511,0.0,0.0,0.719688166999,483.380354071,1.00472433436,0.0
16,300,0.9769,419.9,1.827,25.5,0.0,0.870920849305,351.791448525,1.20858188988,25.5
17,300,1.1603,587.7,2.373,25.5,0.0,1.01636635071,739.255871717,1.4324597945,25.5
18,300,1.3322,859.7,2.961,25.5,0.0,1.14602714959,1050.24751626,1.63913736772,25.5
19,300,1.5707,1089.6,3.255,25.5,0.0,1.25890649956,1310.19625063,1.82265695009,25.5
20,300,1.7884,1372.4,3.423,25.5,0.0,1.35493039199,1535.33345991,1.98034883285,25.5
21,300,1.9537,1612.9,3.528,25.5,0.0,1.43469293199,1736.5995267,2.11184838962,25.5
22,300,2.1106,1848.7,3.633,25.5,0.0,1.49922066421,1921.57416178,2.21825312543,25.5
23,300,2.2051,2128.9,3.465,25.5,0.0,1.54978111476,2095.54271083,2.3014731794,25.5
