,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,432.0,0.409852708559,2801.40444137,0.891688879457,0.0
1,480,0.6876,2418.32,1.35,0.0,432.0,0.687551497785,2338.6191108,1.16652844484,0.0
2,480,0.9821,2332.45,1.93,0.0,432.0,0.96750010481,2189.08774274,1.76507598417,0.0
3,480,1.2837,2600.84,2.35,0.0,432.0,1.23445899246,2019.08229871,2.26113878998,0.0
4,480,1.4993,2349.98,2.83,127.5,432.0,1.45411678697,2051.75451044,2.55989586333,127.5
5,480,1.6791,3456.13,3.11,127.5,432.0,1.72823667406,4755.30309344,3.05945763685,127.5
6,480,1.9052,5431.08,3.45,127.5,432.0,1.9712819928,6473.26990113,3.40771724989,127.5
7,480,2.1708,7082.72,3.68,127.5,432.0,2.2198796928,8741.23916927,3.77748493833,127.5
8,480,2.3233,8983.82,3.98,127.5,432.0,2.43016890094,10278.9378676,3.94836718175,127.5
9,480,2.4825,10144.65,4.18,127.5,432.0,2.44040163194,11318.1093233,4.0879207708,127.5
10,480,2.6442,11406.6,4.42,127.5,432.0,2.46451865784,11802.1772019,4.14233120401,127.5
11,480,2.7401,12819.77,4.62,127.5,432.0,2.44492234703,12122.9420673,4.18946081458,127.5
12,300,0.1872,759.6,0.399,0.0,360.0,0.218316061755,991.950221145,0.559347835314,0.0
13,300,0.3423,619.2,0.672,0.0,360.0,0.463467418826,928.963947377,0.871338087528,0.0
14,300,0.491,581.4,1.029,0.0,360.0,0.613729160222,863.928692448,1.13837385701,0.0
15,300,0.6918,463.6,1.4511,0.0,360.0,0.773837908945,834.356427282,1.44792144685,0.0
16,300,0.9769,419.9,1.827,25.5,360.0,0.981855543605,701.731585751,1.78628138606,25.5
17,300,1.1603,587.7,2.373,25.5,360.0,1.21003234559,991.454249014,2.22106867712,25.5
18,300,1.3322,859.7,2.961,25.5,360.0,1.41595973396,1238.5503566,2.63318367267,25.5
19,300,1.5707,1089.6,3.255,25.5,360.0,1.5897636092,1529.60519508,3.06097588417,25.5
20,300,1.7884,1372.4,3.423,25.5,360.0,1.77313389218,1799.1349551,3.26473888581,25.5
21,300,1.9537,1612.9,3.528,25.5,360.0,1.91608175323,2068.9416653,3.36210338248,25.5
22,300,2.1106,1848.7,3.633,25.5,360.0,2.01338643924,2276.14502125,3.40888101124,25.5
23,300,2.2051,2128.9,3.465,25.5,360.0,2.0988175852,2465.07941397,3.44894377911,25.5
