,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,300,0.2152,486.67,0.33,0.0,300.0,0.2152,486.67,0.33,0.0
1,300,0.4744,475.54,0.74,0.0,300.0,0.485345243136,501.916135558,0.688900012849,0.0
2,300,0.7273,310.77,1.11,0.0,300.0,0.76291696394,479.605493391,1.08678599346,0.0
3,300,0.9908,249.3,1.42,0.0,300.0,1.02861004706,482.161221249,1.47296602779,0.0
4,300,1.1808,146.8,1.77,127.5,300.0,1.24266511765,552.361128307,1.80213282815,127.5
5,300,1.3592,1719.34,2.12,127.5,300.0,1.4180360224,2274.83549353,2.24781417098,127.5
6,300,1.5168,3731.04,2.52,127.5,300.0,1.61397377293,4162.40337703,2.5920128702,127.5
7,300,1.7003,5113.05,2.77,127.5,300.0,1.80049329446,5920.31179118,2.85398486818,127.5
8,300,1.8854,7159.48,2.92,127.5,300.0,1.96042024027,7579.19967736,3.06491415266,127.5
9,300,2.0366,8560.9,3.16,127.5,300.0,2.10306622729,9246.62408916,3.24069204436,127.5
10,300,2.1583,9696.13,3.32,127.5,300.0,2.25091438674,11026.7872168,3.40108901625,127.5
11,300,2.2641,11984.64,3.47,127.5,300.0,2.42616793454,13033.9526015,3.55767242759,127.5
12,600,0.291,3000.5,0.61,0.0,600.0,0.291,3000.5,0.61,0.0
13,600,0.572,2611.18,1.11,0.0,600.0,0.588313765937,2644.76562141,1.15125782399,0.0
14,600,0.8496,2498.79,1.61,0.0,600.0,0.87598903353,2672.50094761,1.60092334715,0.0
15,600,1.0979,2892.6,2.03,0.0,600.0,1.13893760319,2744.15337594,2.0467254365,0.0
16,600,1.3347,2572.97,2.45,127.5,600.0,1.37906178754,2692.52763977,2.54336271273,127.5
17,600,1.5264,4165.31,2.78,127.5,600.0,1.59683815719,4359.32804456,2.81063829213,127.5
18,600,1.7396,6012.88,3.11,127.5,600.0,1.77336641638,6233.71465449,3.16840386873,127.5
19,600,1.892,7505.08,3.46,127.5,600.0,1.95286728195,8027.61153047,3.47429099235,127.5
20,600,2.0587,9473.85,3.63,127.5,600.0,2.11870886271,9632.55898029,3.73935137968,127.5
21,600,2.1971,10791.38,3.93,127.5,600.0,2.26178112471,11124.8536883,3.9671366913,127.5
22,600,2.3153,11996.99,4.15,127.5,600.0,2.38635988843,12561.9701539,4.16556237093,127.5
23,600,2.4464,13429.97,4.26,127.5,600.0,2.49795670005,13966.0810836,4.3377796996,127.5
24,150,0.1557,768.3,0.22,0.0,150.0,0.1557,768.3,0.22,0.0
25,150,0.2498,695.8,0.392,0.0,150.0,0.304901777216,729.030143124,0.441685686894,0.0
26,150,0.4045,608.1,0.66,0.0,150.0,0.476444249916,679.733403677,0.678581450332,0.0
27,150,0.5874,509.9,0.842,0.0,150.0,0.66867981457,631.377990782,0.9246076675,0.0
28,150,0.7426,460.4,1.1926,25.5,150.0,0.865673078393,604.062164242,1.15861269935,25.5
29,150,0.9118,677.6,1.536,25.5,150.0,0.993371049896,827.008444627,1.50517918482,25.5
30,150,1.0584,949,1.742,25.5,150.0,1.14536870721,1137.672572,1.8136590151,25.5
31,150,1.1949,1153.1,1.96,25.5,150.0,1.28985262993,1478.86499815,2.05704896081,25.5
32,150,1.2919,1427.5,2.18,25.5,150.0,1.40586867347,1813.39470888,2.22170270948,25.5
33,150,1.4063,1718,2.386,25.5,150.0,1.4905520334,2128.2666385,2.32406256346,25.5
34,150,1.4852,1967.2,2.462,25.5,150.0,1.55134150536,2425.41616813,2.39066851069,25.5
35,150,1.5414,2214.3,2.358,25.5,150.0,1.5973372993,2710.46945445,2.44077607438,25.5
36,480,0.2667,722.9,0.462,0.0,480.0,0.2667,722.9,0.462,0.0
37,480,0.4593,574.8,0.777,0.0,480.0,0.478323356472,645.553451156,0.849399478403,0.0
38,480,0.6391,516.9,1.218,0.0,480.0,0.702030223216,613.136813811,1.30513577151,0.0
39,480,0.8708,404.2,1.806,0.0,480.0,0.946505387689,558.098751678,1.84114945089,0.0
40,480,1.1327,335.8,2.352,25.5,480.0,1.21198369021,429.897605729,2.43365497588,25.5
41,480,1.3546,538.4,2.772,25.5,480.0,1.44494558028,735.216166547,2.96191992091,25.5
42,480,1.5643,810.2,3.318,25.5,480.0,1.67801526448,1026.74074048,3.56527319834,25.5
43,480,1.7803,1028.3,3.969,25.5,480.0,1.9159697476,1286.59084431,4.11890800848,25.5
44,480,1.967,1230.4,4.368,25.5,480.0,2.12782693207,1533.67018587,4.45469961488,25.5
45,480,2.1856,1484.6,4.536,25.5,480.0,2.27725105626,1779.12431935,4.56354078813,25.5
46,480,2.2902,1667.8,4.62,25.5,480.0,2.35773325969,2015.12962949,4.57334186912,25.5
47,480,2.3581,1885.1,4.557,25.5,480.0,2.39456509261,2238.67097779,4.56506960092,25.5
48,600,0.3458,709.5,0.612,0.0,600.0,0.3458,709.5,0.612,0.0
49,600,0.5945,525.6,1.206,0.0,600.0,0.604247582535,586.666725256,1.18860458473,0.0
50,600,0.8218,465.7,1.746,0.0,600.0,0.857876212262,618.677621575,1.74665760276,0.0
51,600,1.0512,335.8,2.232,0.0,600.0,1.11350373998,657.238817082,2.33098191639,0.0
52,600,1.3269,215,2.862,25.5,600.0,1.39363521697,582.027645582,2.92181092374,25.5
53,600,1.6084,460.3,3.258,25.5,600.0,1.6815883321,970.024770658,3.3366119279,25.5
54,600,1.8375,730.9,3.636,25.5,600.0,1.95204074054,1299.95809151,3.82451040512,25.5
55,600,2.0981,947.9,4.068,25.5,600.0,2.21838572033,1566.13314461,4.26592588373,25.5
56,600,2.2753,1150.6,4.32,25.5,600.0,2.44067941816,1804.050587,4.6014849168,25.5
57,600,2.4609,1328.6,4.752,25.5,600.0,2.59745609341,2037.01569312,4.82774058912,25.5
58,600,2.5819,1537.4,4.896,25.5,600.0,2.6982717457,2264.88742857,4.96992138853,25.5
59,600,2.6911,1753.6,4.932,25.5,600.0,2.76165001312,2484.02267789,5.05475929622,25.5
