,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0
1,1.0,0.19601237808,0.161164592855,0.225302061123,0.0,1.0,0.171534030704,0.167892079224,0.173706774563,0.0
2,1.0,0.311371381566,0.154239520253,0.362710258233,0.0,1.0,0.299752795675,0.14949927336,0.319010456431,0.0
3,1.0,0.4295115359,0.175884102011,0.462212745795,0.0,1.0,0.421339748727,0.144741047573,0.456738623625,0.0
4,1.0,0.513964510948,0.155653244752,0.575929874437,1.0,1.0,0.535151743353,0.169359984876,0.550318801825,1.0
5,1.0,0.58439421834,0.244859825143,0.642264866145,1.0,1.0,0.586729737235,0.26887913902,0.642981351757,1.0
6,1.0,0.672960162952,0.404131656219,0.722814498934,1.0,1.0,0.654057682108,0.35023189141,0.702824921474,1.0
7,1.0,0.776998707352,0.537329826845,0.777303956408,1.0,1.0,0.737056380944,0.500528676732,0.770449202627,1.0
8,1.0,0.836734693878,0.69064595032,0.84837716181,1.0,1.0,0.825557681723,0.628781567427,0.814148395074,1.0
9,1.0,0.899095146696,0.784262254362,0.895759298744,1.0,1.0,0.877414911404,0.775818635941,0.870869103239,1.0
10,1.0,0.962434877982,0.886033482609,0.952617863066,1.0,1.0,0.927115542171,0.866719732346,0.909165496506,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,0.975672191915,0.966193006898,0.95583983988,1.0
12,0.0,0.0,0.0273954485007,0.0,0.0,0.0,0.0,0.0273954485007,0.0,0.0
13,0.0,0.0607544361315,0.0160727491498,0.0646766169154,0.0,0.0,0.0645722433912,0.0192738760157,0.0336710164674,0.0
14,0.0,0.119001919386,0.0130243300938,0.149253731343,0.0,0.0,0.12840332865,0.00877701452973,0.101945119251,0.0
15,0.0,0.197657565905,0.00352423049596,0.249253731343,0.0,0.0,0.19059390499,0.00609271648135,0.184083866834,0.0
16,0.0,0.309334482353,0.0,0.338308457711,0.2,0.0,0.264567151251,-0.00103491623353,0.278184987121,0.2
17,0.0,0.381174350738,0.0135323999365,0.467661691542,0.2,0.0,0.366236783795,0.0135041514773,0.369264644118,0.2
18,0.0,0.448509538172,0.0354681137786,0.606965174129,0.2,0.0,0.429670701825,0.027761665505,0.47554797461,0.2
19,0.0,0.541932703984,0.0540086307356,0.676616915423,0.2,0.0,0.485236795402,0.0520732456727,0.583837113684,0.2
20,0.0,0.627208272944,0.076815321451,0.716417910448,0.2,0.0,0.549253430231,0.0744281346211,0.633490325108,0.2
21,0.0,0.691958165224,0.0962106860798,0.741293532338,0.2,0.0,0.607033204681,0.0998445113579,0.658339169772,0.2
22,0.0,0.753417681852,0.115227014477,0.766169154229,0.2,0.0,0.65087488794,0.120804526835,0.672144626917,0.2
23,0.0,0.790434407928,0.137824025574,0.726368159204,0.2,0.0,0.692236411702,0.141094432354,0.6854846771,0.2
