,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.562303960022,2430.40667712,1.34988965676,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.894965057719,2284.55208886,1.89053396909,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.21341970999,2243.59554977,2.45940202997,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.49397908089,2458.18554376,2.92750934069,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.70709703946,3947.33007274,3.03021079557,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.86653152895,5325.4257867,3.25323589286,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,2.03076283242,7646.51548586,3.48740691249,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.16339633432,9645.11270263,3.70004607117,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.31692662208,11446.5620894,3.91031121063,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.43313634899,12673.8185065,4.07105486442,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.57406999884,14015.4762237,4.24816202835,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.2241018261,620.193447393,0.795482331125,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.422729353206,520.99423808,1.0459612675,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.676210336274,561.628383963,1.33043200196,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.975614910492,527.099496935,1.68647758334,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.23475676094,787.431413965,2.09680244953,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.46005732091,1098.22604845,2.57041189554,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.64988449972,1480.72453673,3.1352762088,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.80901605301,1744.25973414,3.46357759689,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.9384515486,2018.80103343,3.61749642361,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,2.02758717577,2230.53972719,3.66505970446,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,2.1051693498,2417.51236135,3.66720357183,25.5
