,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.625109226984,2501.73995641,1.13221629543,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.952438912078,2273.67155475,1.74554313659,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.26283824453,2214.67017357,2.32689373032,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.55338888561,2519.94179567,2.7218956625,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.68506234619,3753.96636956,3.11302428576,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.85694385665,4762.72992333,3.36562399354,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,2.06883123491,6626.39052275,3.65106608429,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.29476620567,8216.70969449,3.83552037561,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.42715252732,10039.9502293,4.07493848477,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.55403326761,11167.1120075,4.23658756075,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.67799353874,12400.5676804,4.43359996413,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.352046480153,658.893556991,0.541125360509,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.515000857712,528.733839157,0.82931034836,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.673767180049,495.448892316,1.17601800191,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.862613480429,407.067173243,1.57321883064,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.12216588535,587.349722778,1.95766606282,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.28410633469,764.141043245,2.40628800083,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.42596101498,1065.60147682,2.86337645686,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.58938908204,1342.79919364,3.07296266228,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.73689506823,1657.95896105,3.17784963561,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.84881850142,1917.86042817,3.23612247022,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.95441033543,2169.45261892,3.29243082204,25.5
