,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.61035901244,2427.86793548,1.32866497643,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.86457670352,2376.34473785,1.79742091072,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.11668229841,2387.94979623,2.24601114548,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.37910737782,2313.36497838,2.71959274649,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.62684362821,4226.43974192,2.68677054398,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.78479950912,5780.64092245,3.19033201701,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,1.95103035019,7747.94620237,3.37209113745,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.11963645184,9605.12232894,3.60393009804,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.28864825803,11325.4964683,3.84258696903,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.45102261072,12933.8254834,4.03801175938,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.59504832062,14475.4104644,4.20815033475,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.424643301517,543.435806448,0.778861049627,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.672560130333,408.825695192,1.13968919477,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.923769347345,354.047006703,1.48439087158,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,1.17696543748,364.254487812,1.81605840411,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.36706224293,678.030333121,2.20075278617,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.55817010582,1028.0821234,2.56918071607,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.75767379411,1351.97493753,2.9169800234,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.95965692905,1609.17381835,3.21743115538,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,2.13210751281,1810.93786598,3.42606215562,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,2.24274790676,1998.76693486,3.52473462198,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,2.29355380731,2193.3414769,3.54591205859,25.5
