,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.649406041176,2575.58144836,1.14291891311,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.903642629968,2483.52389016,1.54876495704,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.14874834466,2405.53524316,1.98180023473,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.38759560367,2322.35303313,2.42997098822,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.61605426657,3864.74167208,2.83194998581,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.82749393916,5480.42095657,3.1792201137,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,2.02092602495,7105.2293516,3.46632011395,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.19424230612,8686.87993179,3.69558615076,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.34605000039,10191.9852232,3.87696328373,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.47758361599,11601.9483551,4.02241456866,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.5923574159,12906.49219,4.14159331421,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.371330973173,642.90089119,0.61446518157,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.538938042321,557.229439501,0.850546366206,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.695455154493,492.201327381,1.1029408539,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.844101463646,440.51908243,1.36537800661,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.00228306026,654.533942468,1.59581913752,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.14782363458,886.773725374,1.81139385131,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.28086327901,1132.36003739,2.00840617828,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.40151921983,1386.57731859,2.1844578056,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.51003078395,1644.81961156,2.33862987727,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.60685646576,1902.81517513,2.47137747659,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.69270026907,2156.89029319,2.58420596673,25.5
