,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.626379984636,2709.91739674,1.2145588432,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.942106911231,2371.15396339,1.80435780088,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.24762716925,2217.49973252,2.36654675797,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.54082065161,2452.89643827,2.74457506219,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.68276140565,3903.0334303,3.19196959365,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.83997808527,4987.22349978,3.42995229524,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,2.04342109258,6913.41774876,3.70114889525,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.25996911771,8556.47273714,3.8926648253,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.40993952294,10392.1386943,4.12642567665,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.54783506918,11529.5599149,4.2957036069,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.69231436589,12757.606327,4.49977819554,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.33954341631,810.170085938,0.612140115732,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.507421310232,597.431401732,0.893266493448,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.686295525736,459.305727574,1.26201916176,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.90231310546,268.187843576,1.6853796135,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.12293649707,662.853516245,2.05082558707,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.33351504598,776.898525585,2.57038915316,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.53507660856,1015.13699621,3.11068868377,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.70854214502,1345.02402135,3.31819306601,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.84491381963,1748.66958567,3.40242297789,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.94235540131,2090.98613103,3.44377528201,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,2.03391700417,2426.92740025,3.48813679611,25.5
