,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,1.0,-1.45974807626,-0.219582500985,-1.56951586925,-0.925820099773,1.0,-1.45974807626,-0.219582500985,-1.56951586925,-0.925820099773
1,1.0,-1.05366752318,-0.29586950841,-1.0966852062,-0.925820099773,1.0,-1.18102955999,-0.221709957404,-1.19276981757,-0.925820099773
2,1.0,-0.663485719324,-0.319296055374,-0.62385454315,-0.925820099773,1.0,-0.874422009352,-0.230760548937,-0.832055187707,-0.925820099773
3,1.0,-0.263897155511,-0.246075478459,-0.281459925079,-0.925820099773,1.0,-0.544523112269,-0.237061847502,-0.472811238009,-0.925820099773
4,1.0,0.0217503722013,-0.314513624161,0.109848209859,1.38873014966,1.0,-0.190328542324,-0.239333951301,-0.106393039592,1.38873014966
5,1.0,0.259966631397,-0.0127403049047,0.338111288573,1.38873014966,1.0,0.163948372405,0.217106640797,0.008318499758,1.38873014966
6,1.0,0.55952556468,0.526053906427,0.615287884155,1.38873014966,1.0,0.357120531445,0.718668394501,0.364690415249,1.38873014966
7,1.0,0.911417880823,0.976644590346,0.802789698813,1.38873014966,1.0,0.639667059495,1.2428239866,0.59538085247,1.38873014966
8,1.0,1.11346448554,1.49529148022,1.04735728315,1.38873014966,1.0,0.871131999015,1.76870458409,0.760320366526,1.38873014966
9,1.0,1.3243878919,1.81198227459,1.21040233937,1.38873014966,1.0,1.05834145058,2.24122497313,0.954678967745,1.38873014966
10,1.0,1.53862353768,2.15626003099,1.40605640684,1.38873014966,1.0,1.26741597965,2.64751747245,1.13070451293,1.38873014966
11,1.0,1.66568104189,2.54179273593,1.56910146307,1.38873014966,1.0,1.47310961585,3.03062831976,1.26030560666,1.38873014966
12,-1.0,-1.71664536579,-0.748391716173,-1.87196444855,-0.925820099773,-1.0,-1.71664536579,-0.748391716173,-1.87196444855,-0.925820099773
13,-1.0,-1.51115403208,-0.786694816135,-1.6494079468,-0.925820099773,-1.0,-1.38093216913,-0.784450089046,-1.61462119736,-0.925820099773
14,-1.0,-1.31414203129,-0.797007189202,-1.35837252144,-0.925820099773,-1.0,-1.04606696375,-0.809620067658,-1.34738802371,-0.925820099773
15,-1.0,-1.04810296095,-0.829144690453,-1.01426593028,-0.925820099773,-1.0,-0.73343758127,-0.819047180104,-1.07673888112,-0.925820099773
16,-1.0,-0.67037517732,-0.841066666723,-0.707822747106,-0.462910049886,-1.0,-0.448098815151,-0.820557877898,-0.805069861756,-0.462910049886
17,-1.0,-0.427389293357,-0.795288460357,-0.262709743613,-0.462910049886,-1.0,-0.354249882036,-0.673808187717,-0.466226892155,-0.462910049886
18,-1.0,-0.199639710733,-0.721083024533,0.216642721686,-0.462910049886,-1.0,-0.180970143655,-0.580191562485,-0.147868731771,-0.462910049886
19,-1.0,0.11634793008,-0.658363062414,0.456318954336,-0.462910049886,-1.0,0.00903482243061,-0.520113198113,0.183806945298,-0.462910049886
20,-1.0,0.404777738906,-0.581211234285,0.593276801564,-0.462910049886,-1.0,0.182515343152,-0.48217592507,0.492486541469,-0.462910049886
21,-1.0,0.623783009458,-0.515599442682,0.678875456082,-0.462910049886,-1.0,0.328341268122,-0.452750925347,0.711745627063,-0.462910049886
22,-1.0,0.831659155552,-0.451269877361,0.7644741106,-0.462910049886,-1.0,0.445584004427,-0.423176802408,0.820834650158,-0.462910049886
23,-1.0,0.956861805686,-0.374827365897,0.627516263371,-0.462910049886,-1.0,0.530248204621,-0.3914974277,0.849293573644,-0.462910049886
