,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.562303960022,2430.40667712,1.34988965676,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.816922621365,2327.37581275,1.81268984686,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.08363686781,2272.96746804,2.26791525148,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.3478819998,2205.53688885,2.74986684649,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.61283540921,3610.61790782,2.91422245958,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.82112878142,5376.46652529,3.1391585112,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,1.98416032181,7350.77831558,3.38215806427,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.13557824775,9198.03400916,3.61400434363,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.28300784695,10756.1948434,3.83838716814,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.42085507091,12165.5373683,4.02365226218,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.55555025419,13502.4460708,4.18072646529,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.2241018261,620.193447393,0.795482331125,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.432241223158,643.075718083,1.04490444338,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.657802251453,658.125839377,1.30056497276,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.898531464867,648.667324902,1.57277763103,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.11872183586,924.23378666,1.89150513201,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.3370146066,1207.06048622,2.19086500625,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.50388273886,1517.07481318,2.50635579183,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.64447452068,1870.82535726,2.81343898615,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.78070233843,2251.56585921,3.07345141535,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.89913270945,2616.52790857,3.25323784069,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.98278150321,2914.61087834,3.33312299837,25.5
