,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.625109226984,2501.73995641,1.13221629543,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.873604412048,2372.38780328,1.52592429342,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.1253820878,2287.93103274,1.93414227745,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.37685581958,2234.38204611,2.33929344333,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.55030379505,3896.49274079,2.63890440327,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.72811049993,5473.29615836,2.91300436591,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,1.90107583589,6957.93786446,3.1560713278,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.06212568587,8359.75541268,3.36488066784,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.20664213387,9699.31343758,3.53922747504,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.33253989735,11002.0670283,3.68154316068,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.43999552402,12293.2170176,3.79586702763,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.352046480153,658.893556991,0.541125360509,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.506644637773,589.870523733,0.71785318184,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.6503566866,544.911766814,0.912639720964,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.78156636905,519.750491574,1.11178309223,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,0.926802574349,737.234421503,1.33936725583,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.05853955076,960.290803685,1.54891179165,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.17568219818,1189.45411266,1.73443193286,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.27812030456,1425.24134093,1.89298201964,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.3666341146,1667.90929113,2.02426355448,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.44263872761,1917.48685842,2.12992947409,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.50787815207,2173.93408731,2.21281376812,25.5
