,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.668820292865,2259.46760373,1.32664497716,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.913460759532,2342.41818773,1.92614250275,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.18939781482,2314.35057552,2.48906002334,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.5034619536,2141.21376534,2.96391264044,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.66891074153,3268.13780176,1.99909032412,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.84897097115,4819.86644855,2.47584718263,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,2.10107695239,7806.13887115,3.21947433837,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.37203566901,10250.3552405,3.40487172864,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.53533441943,12536.9142555,3.69279840672,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.66054593608,13357.0352141,3.92265144454,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.74567079385,14428.218936,4.06873377415,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.141301128393,486.256865029,0.516145103574,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.386030611377,458.567382432,0.850089440673,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.663464813417,546.965443683,1.21733342968,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.956727100391,333.35566138,1.62278970854,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.199990407,101.766695097,2.06056685078,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.45674037277,560.285596823,2.24520859671,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.66875291359,941.547251232,2.65954720909,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.84102393768,1096.66970475,2.85501555765,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.95129918054,1066.07176898,2.87587258519,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,2.04779493229,1222.28610601,2.90055069834,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,2.16234229773,1462.64145203,2.94010775324,25.5
