,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.633178527407,2592.61930243,1.18716728167,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.941635626619,2346.79375659,1.76013160238,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.25227458611,2240.2481769,2.30336233754,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.55381048971,2512.68539633,2.66931620515,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.66691661228,3835.83804345,3.16749732725,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.83953758349,4941.12609538,3.39150357731,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,2.07812081962,6873.85355872,3.6354049391,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.35191120721,8491.61847658,3.82400688305,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.52917367366,10318.7340845,3.98420907056,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.6733505556,11438.4317749,4.09272854611,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.77237323112,12447.0375396,4.13681257907,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.328740267914,818.499517238,0.606941974769,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.508505129705,585.287614429,0.870010870468,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.702704220776,470.868192124,1.13497982078,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.957983406645,270.788051244,1.4394925574,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.13905793317,639.259645787,1.96080264889,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.37940325206,787.910842914,2.20720965398,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.6626643723,943.296143499,2.02799708922,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.70817909386,1394.0761843,2.09987456138,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.52141922383,2142.92431964,2.31828559391,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.2284242523,2911.49469706,2.54241178814,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,0.84245790696,3764.38221139,2.75882109081,25.5
