,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.629019625248,2477.50083039,1.20571633393,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.940946713178,2295.14868313,1.79638367839,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.22054324217,2236.28305891,2.34324293997,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.51199020197,2399.96116894,2.8232221084,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.64474119094,4719.3073435,2.8402722466,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.79865426366,6025.3957334,3.02380065824,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,2.01730403678,8021.03722189,3.2982322171,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.22635709621,9698.54514198,3.50926218589,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.3961751671,11407.8523479,3.74759433382,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.53302565873,12529.649667,3.88742608994,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.68119538435,13737.2978347,4.03522730966,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.377447969802,760.020377106,0.667910563377,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.555219221085,551.539251607,0.97215802158,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.732453302569,449.922932603,1.32786201663,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,0.952184172326,303.578241471,1.73063244395,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.21211692314,511.915924189,2.16679713828,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.41221092514,705.503230892,2.65324050691,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.63593537778,875.566779168,3.24573683619,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.78821888174,1062.54784389,3.53988623971,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.87828618154,1332.36473096,3.65994377321,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.9346262786,1549.43927037,3.71052085912,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.98843181432,1742.80363568,3.75401258691,25.5
