,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,480.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,480.0,0.629019625248,2477.50083039,1.20571633393,0.0
2,480,0.9821,2332.45,1.93,0.0,480.0,0.881647682303,2335.26533558,1.66289713212,0.0
3,480,1.2837,2600.84,2.35,0.0,480.0,1.11484242648,2269.27622602,2.08501808942,0.0
4,480,1.4993,2349.98,2.83,127.5,480.0,1.33899326447,2160.65938758,2.52000578823,127.5
5,480,1.6791,3456.13,3.11,127.5,480.0,1.54493778928,4028.80650832,2.74213010461,127.5
6,480,1.9052,5431.08,3.45,127.5,480.0,1.74569623643,5807.72848647,3.01973832399,127.5
7,480,2.1708,7082.72,3.68,127.5,480.0,1.93280019387,7538.66048381,3.30027360304,127.5
8,480,2.3233,8983.82,3.98,127.5,480.0,2.10389261506,9206.59001972,3.55677287332,127.5
9,480,2.4825,10144.65,4.18,127.5,480.0,2.25878371453,10787.0517245,3.77664178708,127.5
10,480,2.6442,11406.6,4.42,127.5,480.0,2.39869495961,12259.8709823,3.96191309347,127.5
11,480,2.7401,12819.77,4.62,127.5,480.0,2.5261362836,13620.8753374,4.12045359776,127.5
12,300,0.1872,759.6,0.399,0.0,300.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,300.0,0.377447969802,760.020377106,0.667910563377,0.0
14,300,0.491,581.4,1.029,0.0,300.0,0.57922565267,700.05238252,0.966479741083,0.0
15,300,0.6918,463.6,1.4511,0.0,300.0,0.790429713288,593.584367507,1.27963998403,0.0
16,300,0.9769,419.9,1.827,25.5,300.0,1.00071291074,463.265085339,1.58695482189,25.5
17,300,1.1603,587.7,2.373,25.5,300.0,1.20252281587,561.86995438,1.98371405664,25.5
18,300,1.3322,859.7,2.961,25.5,300.0,1.37434504592,720.357573683,2.31798830938,25.5
19,300,1.5707,1089.6,3.255,25.5,300.0,1.51707773404,901.788509469,2.62632115708,25.5
20,300,1.7884,1372.4,3.423,25.5,300.0,1.63802711712,1053.83870799,2.93038482678,25.5
21,300,1.9537,1612.9,3.528,25.5,300.0,1.74180444522,1133.78532256,3.2321126968,25.5
22,300,2.1106,1848.7,3.633,25.5,300.0,1.8278014118,1138.2405837,3.51020631503,25.5
23,300,2.2051,2128.9,3.465,25.5,300.0,1.89373090298,1111.80970068,3.73249698819,25.5
