,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0,1.0,0.075952837949,0.183715635728,0.0878938640133,0.0
1,1.0,0.19601237808,0.161164592855,0.225302061123,0.0,1.0,0.165411674066,0.171135409794,0.184579996514,0.0
2,1.0,0.311371381566,0.154239520253,0.362710258233,0.0,1.0,0.291147626152,0.154393746038,0.330491093221,0.0
3,1.0,0.4295115359,0.175884102011,0.462212745795,0.0,1.0,0.410435680959,0.148769100731,0.47270903459,0.0
4,1.0,0.513964510948,0.155653244752,0.575929874437,1.0,1.0,0.521683587228,0.171980561991,0.56679648879,1.0
5,1.0,0.58439421834,0.244859825143,0.642264866145,1.0,1.0,0.585887340151,0.274076867033,0.648152259861,1.0
6,1.0,0.672960162952,0.404131656219,0.722814498934,1.0,1.0,0.655861480964,0.364564122669,0.704484831222,1.0
7,1.0,0.776998707352,0.537329826845,0.777303956408,1.0,1.0,0.74192592029,0.524066747189,0.770335048963,1.0
8,1.0,0.836734693878,0.69064595032,0.84837716181,1.0,1.0,0.829713503908,0.653078976354,0.81102007589,1.0
9,1.0,0.899095146696,0.784262254362,0.895759298744,1.0,1.0,0.883824963005,0.802485415027,0.872093036823,1.0
10,1.0,0.962434877982,0.886033482609,0.952617863066,1.0,1.0,0.933590056273,0.890269289631,0.911994658408,1.0
11,1.0,1.0,1.0,1.0,1.0,1.0,0.982856821247,0.985410808313,0.96055111193,1.0
12,0.0,0.0,0.0273954485007,0.0,0.0,0.0,0.0,0.0273954485007,0.0,0.0
13,0.0,0.0607544361315,0.0160727491498,0.0646766169154,0.0,0.0,0.0520758924837,0.0207608342759,0.0452266421156,0.0
14,0.0,0.119001919386,0.0130243300938,0.149253731343,0.0,0.0,0.120156377477,0.00650669204181,0.114310388442,0.0
15,0.0,0.197657565905,0.00352423049596,0.249253731343,0.0,0.0,0.186128343503,-0.000848476120513,0.200491591933,0.0
16,0.0,0.309334482353,0.0,0.338308457711,0.2,0.0,0.265261328935,-0.0177781349473,0.297415275077,0.2
17,0.0,0.381174350738,0.0135323999365,0.467661691542,0.2,0.0,0.377729546479,0.00422193151278,0.386370105956,0.2
18,0.0,0.448509538172,0.0354681137786,0.606965174129,0.2,0.0,0.44027607766,0.00761554725422,0.50041717066,0.2
19,0.0,0.541932703984,0.0540086307356,0.676616915423,0.2,0.0,0.494237457697,0.0204230850804,0.61356392123,0.2
20,0.0,0.627208272944,0.076815321451,0.716417910448,0.2,0.0,0.565216624076,0.043515446439,0.658360775483,0.2
21,0.0,0.691958165224,0.0962106860798,0.741293532338,0.2,0.0,0.63053649174,0.0726317108496,0.677734389703,0.2
22,0.0,0.753417681852,0.115227014477,0.766169154229,0.2,0.0,0.680533780426,0.0959068507403,0.687671129763,0.2
23,0.0,0.790434407928,0.137824025574,0.726368159204,0.2,0.0,0.728334003372,0.117265962325,0.697803781132,0.2
