,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,0.733333333333,11.5124593716,0.608709323076,1528.55127334,0.33
1,480,0.6876,2418.32,1.35,0.0,0.733333333333,24.9075687886,0.588969769393,2629.78516586,0.33
2,480,0.9821,2332.45,1.93,0.0,0.733333333333,40.7313542865,0.551237527106,4192.31777086,0.33
3,480,1.2837,2600.84,2.35,0.0,0.733333333333,55.4483324037,0.545169813373,5639.62870937,0.33
4,480,1.4993,2349.98,2.83,127.5,0.733333333333,69.3905294388,0.597263845892,6629.57605208,3.47
5,480,1.6791,3456.13,3.11,127.5,0.733333333333,79.2078383071,0.854049949372,7398.20213941,3.47
6,480,1.9052,5431.08,3.45,127.5,0.733333333333,87.4867013227,1.02740457272,7967.50440282,3.47
7,480,2.1708,7082.72,3.68,127.5,0.733333333333,97.8582478385,1.32510853741,8699.48060478,3.47
8,480,2.3233,8983.82,3.98,127.5,0.733333333333,109.435925868,1.57410239972,9181.18889223,3.47
9,480,2.4825,10144.65,4.18,127.5,0.733333333333,116.651790805,1.85034752182,9884.92409687,3.47
10,480,2.6442,11406.6,4.42,127.5,0.733333333333,123.722426312,2.02005886742,10333.4065825,3.47
11,480,2.7401,12819.77,4.62,127.5,0.733333333333,130.996164476,2.20284241156,10880.2768419,3.47
12,300,0.1872,759.6,0.399,0.0,0.333333333333,1.60888407367,0.274927587993,717.011806027,0.22
13,300,0.3423,619.2,0.672,0.0,0.333333333333,13.3385400937,0.27001393557,1728.21349939,0.22
14,300,0.491,581.4,1.029,0.0,0.333333333333,21.5247238451,0.240793240715,2572.57877189,0.22
15,300,0.6918,463.6,1.4511,0.0,0.333333333333,29.4822432569,0.230523087183,3592.48647245,0.22
16,300,0.9769,419.9,1.827,25.5,0.333333333333,39.5778094967,0.208358316964,4751.20630219,1.1624
17,300,1.1603,587.7,2.373,25.5,0.333333333333,52.8616715921,0.265356014249,5862.69029811,1.1624
18,300,1.3322,859.7,2.961,25.5,0.333333333333,61.9358796544,0.303641624381,7146.02668117,1.1624
19,300,1.5707,1089.6,3.255,25.5,0.333333333333,70.5841679389,0.354721062085,8492.47571172,1.1624
20,300,1.7884,1372.4,3.423,25.5,0.333333333333,80.7128523646,0.413332110929,9099.2430475,1.1624
21,300,1.9537,1612.9,3.528,25.5,0.333333333333,89.5127794649,0.481820674065,9396.55697188,1.1624
22,300,2.1106,1848.7,3.633,25.5,0.333333333333,96.0494844693,0.5372587414,9558.23988677,1.1624
23,300,2.2051,2128.9,3.465,25.5,0.333333333333,102.212082549,0.589083509438,9716.01511275,1.1624
