,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,1.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,1.0,0.669054997306,2571.73152633,1.19736044156,0.0
2,480,0.9821,2332.45,1.93,0.0,1.0,0.955794572512,2256.60507494,1.77649124592,0.0
3,480,1.2837,2600.84,2.35,0.0,1.0,1.22940628639,2137.14035876,2.32955873302,0.0
4,480,1.4993,2349.98,2.83,127.5,1.0,1.49733923206,2422.62227568,2.69641824363,127.5
5,480,1.6791,3456.13,3.11,127.5,1.0,1.71939274133,3740.07180385,3.0998945483,127.5
6,480,1.9052,5431.08,3.45,127.5,1.0,1.87943886857,4800.33406891,3.35247302808,127.5
7,480,2.1708,7082.72,3.68,127.5,1.0,2.077729383,6732.76321657,3.65833821719,127.5
8,480,2.3233,8983.82,3.98,127.5,1.0,2.3110887246,8378.24719283,3.85157099905,127.5
9,480,2.4825,10144.65,4.18,127.5,1.0,2.44224573673,10229.2897191,4.12061767155,127.5
10,480,2.6442,11406.6,4.42,127.5,1.0,2.58077519758,11362.2203006,4.29322704031,127.5
11,480,2.7401,12819.77,4.62,127.5,1.0,2.72088264231,12581.6229589,4.50298930839,127.5
12,300,0.1872,759.6,0.399,0.0,0.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,0.0,0.352458156949,619.114167578,0.583387511613,0.0
14,300,0.491,581.4,1.029,0.0,0.0,0.510647958636,454.130722668,0.86716337396,0.0
15,300,0.6918,463.6,1.4511,0.0,0.0,0.663294794844,367.354624339,1.22871814868,0.0
16,300,0.9769,419.9,1.827,25.5,0.0,0.866462743693,203.863132165,1.64498789433,25.5
17,300,1.1603,587.7,2.373,25.5,0.0,1.15245535201,607.438628877,2.06073673245,25.5
18,300,1.3322,859.7,2.961,25.5,0.0,1.33702121554,682.78132242,2.57265245592,25.5
19,300,1.5707,1089.6,3.255,25.5,0.0,1.5099139742,855.668753591,3.11583586337,25.5
20,300,1.7884,1372.4,3.423,25.5,0.0,1.73366517601,1093.32588945,3.33965857962,25.5
21,300,1.9537,1612.9,3.528,25.5,0.0,1.93246338191,1412.78326354,3.43967611144,25.5
22,300,2.1106,1848.7,3.633,25.5,0.0,2.08193523232,1687.15622826,3.4926574649,25.5
23,300,2.2051,2128.9,3.465,25.5,0.0,2.22374820772,1953.5193333,3.54823594097,25.5
