,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,1.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,1.0,0.669054997306,2571.73152633,1.19736044156,0.0
2,480,0.9821,2332.45,1.93,0.0,1.0,0.931751589347,2449.37830119,1.61491019627,0.0
3,480,1.2837,2600.84,2.35,0.0,1.0,1.17179208134,2325.5123477,2.0112681381,0.0
4,480,1.4993,2349.98,2.83,127.5,1.0,1.39214061518,2201.39651326,2.37761719228,127.5
5,480,1.6791,3456.13,3.11,127.5,1.0,1.62284055758,3726.48306732,2.67846232223,127.5
6,480,1.9052,5431.08,3.45,127.5,1.0,1.82923876052,5215.47374616,2.94541758437,127.5
7,480,2.1708,7082.72,3.68,127.5,1.0,2.01219476197,6674.60325835,3.18086107641,127.5
8,480,2.3233,8983.82,3.98,127.5,1.0,2.17327394059,8108.18151017,3.38674156237,127.5
9,480,2.4825,10144.65,4.18,127.5,1.0,2.31445627597,9519.42550206,3.56449691327,127.5
10,480,2.6442,11406.6,4.42,127.5,1.0,2.43791350124,10911.0837662,3.7150120064,127.5
11,480,2.7401,12819.77,4.62,127.5,1.0,2.54585617484,12285.8635822,3.83860834612,127.5
12,300,0.1872,759.6,0.399,0.0,0.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,0.0,0.352458156949,619.114167578,0.583387511613,0.0
14,300,0.491,581.4,1.029,0.0,0.0,0.516625832316,483.735700867,0.770368248306,0.0
15,300,0.6918,463.6,1.4511,0.0,0.0,0.678747320786,354.053143501,0.95444303585,0.0
16,300,0.9769,419.9,1.827,25.5,0.0,0.837870875822,231.709366113,1.12989635477,25.5
17,300,1.1603,587.7,2.373,25.5,0.0,1.0038138635,566.542564961,1.37446673416,25.5
18,300,1.3322,859.7,2.961,25.5,0.0,1.16157602352,886.446696515,1.58381108436,25.5
19,300,1.5707,1089.6,3.255,25.5,0.0,1.30976715224,1200.69727074,1.7568446598,25.5
20,300,1.7884,1372.4,3.423,25.5,0.0,1.44728631811,1517.84260537,1.89334470448,25.5
21,300,1.9537,1612.9,3.528,25.5,0.0,1.5733018893,1845.59520708,1.99399137361,25.5
22,300,2.1106,1848.7,3.633,25.5,0.0,1.68722976483,2190.75367543,2.06028377772,25.5
23,300,2.2051,2128.9,3.465,25.5,0.0,1.78871621795,2559.17780254,2.0943593277,25.5
