,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,1.0,0.3811,2697.95,0.77,0.0
1,480,0.6876,2418.32,1.35,0.0,1.0,0.609479462723,2541.95683385,1.17811216529,0.0
2,480,0.9821,2332.45,1.93,0.0,1.0,0.846275854148,2447.14359151,1.61025044119,0.0
3,480,1.2837,2600.84,2.35,0.0,1.0,1.0894274633,2383.51846997,2.06109759947,0.0
4,480,1.4993,2349.98,2.83,127.5,1.0,1.33455180959,2326.32999009,2.51737380486,127.5
5,480,1.6791,3456.13,3.11,127.5,1.0,1.51976347094,3809.26977025,2.84092812723,127.5
6,480,1.9052,5431.08,3.45,127.5,1.0,1.71508778084,5311.36830568,3.12697445127,127.5
7,480,2.1708,7082.72,3.68,127.5,1.0,1.90625868303,6815.27683513,3.36733934887,127.5
8,480,2.3233,8983.82,3.98,127.5,1.0,2.08152410231,8296.47719506,3.56345030748,127.5
9,480,2.4825,10144.65,4.18,127.5,1.0,2.2331613801,9726.00875461,3.72428392196,127.5
10,480,2.6442,11406.6,4.42,127.5,1.0,2.35789180861,11080.8453004,3.86127167652,127.5
11,480,2.7401,12819.77,4.62,127.5,1.0,2.45615203984,12351.1954537,3.98393968416,127.5
12,300,0.1872,759.6,0.399,0.0,0.0,0.1872,759.6,0.399,0.0
13,300,0.3423,619.2,0.672,0.0,0.0,0.320144545922,677.331646113,0.58990165637,0.0
14,300,0.491,581.4,1.029,0.0,0.0,0.462370632253,580.187504292,0.795307446697,0.0
15,300,0.6918,463.6,1.4511,0.0,0.0,0.608971575492,463.083861392,1.00713544927,0.0
16,300,0.9769,419.9,1.827,25.5,0.0,0.753754272563,319.014523342,1.21674615944,25.5
17,300,1.1603,587.7,2.373,25.5,0.0,0.936373876825,478.908159028,1.45658614996,25.5
18,300,1.3322,859.7,2.961,25.5,0.0,1.09323147151,667.769754027,1.67159964849,25.5
19,300,1.5707,1089.6,3.255,25.5,0.0,1.22483413804,870.883209906,1.85807621853,25.5
20,300,1.7884,1372.4,3.423,25.5,0.0,1.33344099061,1079.10833067,2.01503682798,25.5
21,300,1.9537,1612.9,3.528,25.5,0.0,1.42204020156,1288.62785839,2.14335855654,25.5
22,300,2.1106,1848.7,3.633,25.5,0.0,1.49371443612,1499.41156517,2.2451610294,25.5
23,300,2.2051,2128.9,3.465,25.5,0.0,1.55132643231,1713.577682,2.32331483548,25.5
