,Experimental,Experimental,Experimental,Experimental,Experimental,Simulated,Simulated,Simulated,Simulated,Simulated
,Illumination,DCW,nitrate,lutein,NFlowrate,Illumination,DCW,nitrate,lutein,NFlowrate
,,,,,,,,,,
0,480,0.3811,2697.95,0.77,0.0,432.0,0.409852708559,2801.40444137,0.891688879457,0.0
1,480,0.6876,2418.32,1.35,0.0,432.0,0.626831371985,2542.34491276,1.20185539513,0.0
2,480,0.9821,2332.45,1.93,0.0,432.0,0.856698262676,2420.27729052,1.53383714236,0.0
3,480,1.2837,2600.84,2.35,0.0,432.0,1.08251858535,2368.94835069,1.85868033453,0.0
4,480,1.4993,2349.98,2.83,127.5,432.0,1.29071407821,2335.3331728,2.15666876787,127.5
5,480,1.6791,3456.13,3.11,127.5,432.0,1.44519607072,3835.78459212,2.39370254668,127.5
6,480,1.9052,5431.08,3.45,127.5,432.0,1.64391055709,5645.90948478,2.71365144917,127.5
7,480,2.1708,7082.72,3.68,127.5,432.0,1.87838491689,7702.28261377,3.10090212956,127.5
8,480,2.3233,8983.82,3.98,127.5,432.0,2.09270211997,9599.05255497,3.43944016788,127.5
9,480,2.4825,10144.65,4.18,127.5,432.0,2.16677808212,10638.458472,3.51593450462,127.5
10,480,2.6442,11406.6,4.42,127.5,432.0,2.08606689019,10856.8720334,3.34430013685,127.5
11,480,2.7401,12819.77,4.62,127.5,432.0,1.96846951308,10888.1189056,3.14035440985,127.5
12,300,0.1872,759.6,0.399,0.0,360.0,0.218316061755,991.950221145,0.559347835314,0.0
13,300,0.3423,619.2,0.672,0.0,360.0,0.453812599642,886.026538907,0.878835018164,0.0
14,300,0.491,581.4,1.029,0.0,360.0,0.691271628689,893.391838247,1.20401943916,0.0
15,300,0.6918,463.6,1.4511,0.0,360.0,0.910959274595,953.844563885,1.50879457828,0.0
16,300,0.9769,419.9,1.827,25.5,360.0,1.09989025558,1018.25249676,1.77636678559,25.5
17,300,1.1603,587.7,2.373,25.5,360.0,1.37794251708,1706.11225539,2.1454032031,25.5
18,300,1.3322,859.7,2.961,25.5,360.0,1.58640835851,2269.75107868,2.41073452517,25.5
19,300,1.5707,1089.6,3.255,25.5,360.0,1.71281430849,2630.95424878,2.55737698302,25.5
20,300,1.7884,1372.4,3.423,25.5,360.0,1.77389384725,2813.78894021,2.61200958028,25.5
21,300,1.9537,1612.9,3.528,25.5,360.0,1.79842922601,2894.34103231,2.61722413178,25.5
22,300,2.1106,1848.7,3.633,25.5,360.0,1.80681612162,2930.43686212,2.60244182688,25.5
23,300,2.2051,2128.9,3.465,25.5,360.0,1.80874455169,2949.70872305,2.58129591344,25.5
